model,scoring,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__criterion,param_classifier__max_features,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,preproc_scaled
Random Forest_adapt,f1_macro,6.369540691375732,0.15344167060370326,1.1403024196624756,0.025339341336207594,gini,sqrt,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt'}",0.8455896182057552,0.8472535741158767,0.8515801354401806,0.8481411092539375,0.0025248581676279814,1,0.8785622335940098,0.8761765886498294,0.8818699550206,0.8788695924214798,0.002334446007739031,1,0.8297189154562145,0.8275790829122313,0.8323902029413393,0.8298960671032617,0.001968121949670071,1,0.8346590659649782,0.8317865749842982,0.8368442304080427,0.8344299571191063,0.0020711249348724357,1,False
Random Forest_adapt,f1_macro,5.819543997446696,0.062061081892041826,1.149643341700236,0.028060368355922786,gini,log2,"{'classifier__criterion': 'gini', 'classifier__max_features': 'log2'}",0.8414519465864209,0.846124905944319,0.8495109104589917,0.8456959209965772,0.003304012281947756,2,0.872828716911323,0.8777909088594414,0.8772305612774683,0.875950062349411,0.0022189480031552422,2,0.8227936024204778,0.8257431212311527,0.829035916460402,0.8258575467040109,0.002549698156630524,2,0.8283886602560244,0.8305369279290803,0.8336760314681994,0.8308672065511012,0.0021711573810538846,2,False
Random Forest_adapt,f1_macro,6.916513919830322,0.08514023035119747,1.1354081630706787,0.012922648485518549,entropy,sqrt,"{'classifier__criterion': 'entropy', 'classifier__max_features': 'sqrt'}",0.8267820199360542,0.8306997742663657,0.8278781038374717,0.8284532993466306,0.0016503206059199408,4,0.8642889083462542,0.8687142783936452,0.8628235368818173,0.8652755745405724,0.0025040422685530805,3,0.8070108629831829,0.8107815552119357,0.8086203820464787,0.8088042667471992,0.0015448603299033214,3,0.8128854748103531,0.8166819823981388,0.8133885920838999,0.814318683097464,0.0016836803806271278,3,False
Random Forest_adapt,f1_macro,6.884345690409343,0.051693666020028534,1.1379779974619548,0.007470943880924283,log_loss,sqrt,"{'classifier__criterion': 'log_loss', 'classifier__max_features': 'sqrt'}",0.8271581719014481,0.8322046651617758,0.8271256583897667,0.8288294984843302,0.0023866401568613644,3,0.8609962405764632,0.8649593212513971,0.8606803438293618,0.8622119685524073,0.001946947667194636,4,0.8057080558373427,0.8089631934875077,0.807739479053331,0.8074702427927272,0.0013424719496506672,4,0.8117361206548827,0.8132435832994154,0.8124174061668813,0.8124657033737265,0.0006163658931225714,4,False
Random Forest_adapt,f1_macro,7.18224851290385,0.03323051021300051,1.1452539761861165,0.015168497343103257,log_loss,log2,"{'classifier__criterion': 'log_loss', 'classifier__max_features': 'log2'}",0.8198232085762648,0.8250564334085779,0.8220466516177577,0.8223087645342001,0.0021444794119022926,5,0.8546641064779655,0.8597918298924665,0.8558577330202289,0.8567712231302202,0.0021907738343173635,5,0.797879907220268,0.8034255472882972,0.8022564775581668,0.8011873106889107,0.002386890485795104,5,0.8032713142317357,0.8078908388864843,0.8073428305659052,0.8061683278947084,0.002060678594127636,5,False
Random Forest_adapt,f1_macro,7.2883851528167725,0.11988826604963722,1.1257659594217937,0.0033987942951446827,entropy,log2,"{'classifier__criterion': 'entropy', 'classifier__max_features': 'log2'}",0.8192589806281738,0.8169676448457487,0.8201655379984951,0.8187973878241394,0.0013457169320101041,6,0.8564888092685697,0.8524886288224044,0.8543907425341767,0.8544560602083836,0.0016337198248973105,6,0.7987974249106637,0.7928908650948957,0.7996999686174725,0.7971294195410107,0.0030196748313006164,7,0.8047597081557574,0.7981716290911347,0.8047837195989901,0.8025716856152941,0.003111325248100287,6,False
Random Forest_adapt,f1_macro,31.536359310150146,4.347125514764021,1.105841080347697,0.001420679495548231,gini,,"{'classifier__criterion': 'gini', 'classifier__max_features': None}",0.8130524731991725,0.8145221971407073,0.8107599699021821,0.8127782134140206,0.0015481176249214847,7,0.8510645090778068,0.846967527556858,0.842939110606155,0.8469903824136066,0.0033172194017618874,7,0.801785847658043,0.8003308315788844,0.7938963402710796,0.7986710065026689,0.003428055441496685,6,0.8061833114688993,0.8029379276748222,0.7968940892386214,0.8020051094607809,0.0038492444952404024,7,False
Random Forest_adapt,f1_macro,63.55869730313619,44.95715033952758,1.1863821347554524,0.09805563109249689,log_loss,,"{'classifier__criterion': 'log_loss', 'classifier__max_features': None}",0.7718638329885273,0.7753950338600452,0.7661775771256584,0.7711454813247437,0.0037971391860380636,8,0.812516575594995,0.8120651598342811,0.8005198600069799,0.808367198478752,0.005551965709858728,8,0.7577464216082337,0.7580320211251425,0.7523200246677322,0.7560328224670361,0.002627932317101755,8,0.7612318594781544,0.760698347657013,0.753272639496288,0.7584009488771518,0.0036327975028634545,8,False
Random Forest_adapt,f1_macro,31.13333535194397,0.05606916673897522,1.1064937114715576,0.00625470826002195,entropy,,"{'classifier__criterion': 'entropy', 'classifier__max_features': None}",0.7709234530750423,0.7691873589164786,0.7682468021068473,0.7694525380327893,0.001108709482290219,9,0.809122507850977,0.8052619326997846,0.8047201783199899,0.8063682062902505,0.0019601032740771364,9,0.7569156934329886,0.7522688852736299,0.7550691968640834,0.7547512585235673,0.0019103263436296646,9,0.7602537593078738,0.7541142316782158,0.7567934669376517,0.7570538193079138,0.0025132034532788627,9,False
