model,scoring,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,preproc_scaled
Random Forest,f1_macro,7.167538007100423,0.12721317055156947,0.13876891136169434,0.008946646531098916,10,1000,"{'classifier__max_depth': 10, 'classifier__n_estimators': 1000}",0.9910011248593926,0.9917510311211098,0.9909977494373593,0.9912499684726206,0.00035430747630815307,1,0.9691879258351632,0.9575197412687896,0.9650541846874762,0.9639206172638097,0.004830484040393085,1,0.9521055441876987,0.9648880809381813,0.9662057498582429,0.961066458328041,0.0063591167897575325,1,0.9600689028224634,0.9605778854919776,0.9656016229880825,0.9620828037675078,0.002496842321784417,1,False
Random Forest,f1_macro,7.739714701970418,0.19867462400452127,0.14375893274943033,0.0032424465714555287,10,1050,"{'classifier__max_depth': 10, 'classifier__n_estimators': 1050}",0.9910011248593926,0.9917510311211098,0.9909977494373593,0.9912499684726206,0.00035430747630815307,1,0.9691879258351632,0.9575197412687896,0.9650541846874762,0.9639206172638097,0.004830484040393085,1,0.9521055441876987,0.9648880809381813,0.9662057498582429,0.961066458328041,0.0063591167897575325,1,0.9600689028224634,0.9605778854919776,0.9656016229880825,0.9620828037675078,0.002496842321784417,1,False
Random Forest,f1_macro,6.44891889890035,0.09316366628609614,0.1282362937927246,0.0038651043656571056,10,850,"{'classifier__max_depth': 10, 'classifier__n_estimators': 850}",0.990626171728534,0.9917510311211098,0.9909977494373593,0.9911249840956677,0.00046795203242262225,3,0.9654448435206524,0.9575197412687896,0.9650541846874762,0.9626729231589728,0.0036473384155178367,3,0.9425817346638892,0.9648880809381813,0.9662057498582429,0.9578918551534379,0.010839246741943432,3,0.9530990640266511,0.9605778854919776,0.9656016229880825,0.9597595241689038,0.0051368460873279335,3,False
Random Forest,f1_macro,6.792889833450317,0.1714514475064929,0.13662203152974448,0.00046378067644930516,10,925,"{'classifier__max_depth': 10, 'classifier__n_estimators': 925}",0.990626171728534,0.9917510311211098,0.9909977494373593,0.9911249840956677,0.00046795203242262225,3,0.9654448435206524,0.9575197412687896,0.9650541846874762,0.9626729231589728,0.0036473384155178367,3,0.9425817346638892,0.9648880809381813,0.9662057498582429,0.9578918551534379,0.010839246741943432,3,0.9530990640266511,0.9605778854919776,0.9656016229880825,0.9597595241689038,0.0051368460873279335,3,False
Random Forest,f1_macro,6.6846803824106855,0.08847152144182545,0.1652193864186605,0.04112743552430459,,925,"{'classifier__max_depth': None, 'classifier__n_estimators': 925}",0.9910011248593926,0.9913760779902512,0.9909977494373593,0.9911249840956677,0.0001775555430305318,3,0.9665034512295813,0.950767343339921,0.9650541846874762,0.9607749930856594,0.0071011681411136465,5,0.9454971865589329,0.9619118904619909,0.9662057498582429,0.9578716089597222,0.008923902526121005,5,0.9552012389980601,0.9550869411861667,0.9656016229880825,0.9586299343907697,0.004929949115415315,5,False
Random Forest,f1_macro,7.1828170617421465,0.15139375370757566,0.1473542054494222,0.001281436945728542,,1000,"{'classifier__max_depth': None, 'classifier__n_estimators': 1000}",0.9910011248593926,0.9913760779902512,0.9909977494373593,0.9911249840956677,0.0001775555430305318,3,0.9665034512295813,0.950767343339921,0.9650541846874762,0.9607749930856594,0.0071011681411136465,5,0.9454971865589329,0.9619118904619909,0.9662057498582429,0.9578716089597222,0.008923902526121005,5,0.9552012389980601,0.9550869411861667,0.9656016229880825,0.9586299343907697,0.004929949115415315,5,False
Random Forest,f1_macro,7.77645484606425,0.08041384378426128,0.14336482683817545,0.003529839738242872,,1050,"{'classifier__max_depth': None, 'classifier__n_estimators': 1050}",0.9910011248593926,0.9913760779902512,0.9909977494373593,0.9911249840956677,0.0001775555430305318,3,0.9665034512295813,0.950767343339921,0.9650541846874762,0.9607749930856594,0.0071011681411136465,5,0.9454971865589329,0.9619118904619909,0.9662057498582429,0.9578716089597222,0.008923902526121005,5,0.9552012389980601,0.9550869411861667,0.9656016229880825,0.9586299343907697,0.004929949115415315,5,False
Random Forest,f1_macro,6.8029147783915205,0.12138121680903712,0.1243133544921875,0.008197807631885788,12,925,"{'classifier__max_depth': 12, 'classifier__n_estimators': 925}",0.9910011248593926,0.9913760779902512,0.9909977494373593,0.9911249840956677,0.0001775555430305318,3,0.9665034512295813,0.950767343339921,0.9650541846874762,0.9607749930856594,0.0071011681411136465,5,0.9454971865589329,0.9619118904619909,0.9662057498582429,0.9578716089597222,0.008923902526121005,5,0.9552012389980601,0.9550869411861667,0.9656016229880825,0.9586299343907697,0.004929949115415315,5,False
Random Forest,f1_macro,7.030884583791097,0.13855132584350305,0.1360193888346354,0.006864573246032913,14,1000,"{'classifier__max_depth': 14, 'classifier__n_estimators': 1000}",0.9910011248593926,0.9913760779902512,0.9909977494373593,0.9911249840956677,0.0001775555430305318,3,0.9665034512295813,0.950767343339921,0.9650541846874762,0.9607749930856594,0.0071011681411136465,5,0.9454971865589329,0.9619118904619909,0.9662057498582429,0.9578716089597222,0.008923902526121005,5,0.9552012389980601,0.9550869411861667,0.9656016229880825,0.9586299343907697,0.004929949115415315,5,False
Random Forest,f1_macro,7.4783579508463545,0.3100607965774813,0.1380329132080078,0.005628473849417981,14,1050,"{'classifier__max_depth': 14, 'classifier__n_estimators': 1050}",0.9910011248593926,0.9913760779902512,0.9909977494373593,0.9911249840956677,0.0001775555430305318,3,0.9665034512295813,0.950767343339921,0.9650541846874762,0.9607749930856594,0.0071011681411136465,5,0.9454971865589329,0.9619118904619909,0.9662057498582429,0.9578716089597222,0.008923902526121005,5,0.9552012389980601,0.9550869411861667,0.9656016229880825,0.9586299343907697,0.004929949115415315,5,False
Random Forest,f1_macro,6.780161301294963,0.12741035100982825,0.12969684600830078,0.006845737592975715,14,925,"{'classifier__max_depth': 14, 'classifier__n_estimators': 925}",0.9910011248593926,0.9913760779902512,0.9909977494373593,0.9911249840956677,0.0001775555430305318,3,0.9665034512295813,0.950767343339921,0.9650541846874762,0.9607749930856594,0.0071011681411136465,5,0.9454971865589329,0.9619118904619909,0.9662057498582429,0.9578716089597222,0.008923902526121005,5,0.9552012389980601,0.9550869411861667,0.9656016229880825,0.9586299343907697,0.004929949115415315,5,False
Random Forest,f1_macro,6.90263295173645,0.42271815459032036,0.1305073102315267,0.0037230072086815212,9,925,"{'classifier__max_depth': 9, 'classifier__n_estimators': 925}",0.9910011248593926,0.9913760779902512,0.9906226556639159,0.9909999528378531,0.00030758449319492453,17,0.9665034512295813,0.950767343339921,0.964869391006979,0.9607133951921604,0.0070644886008990725,12,0.9454971865589329,0.9619118904619909,0.9660265062662015,0.9578118610957084,0.008868330264264158,12,0.9552012389980601,0.9550869411861667,0.9654187966878158,0.9585689922906808,0.004843767900213502,12,False
Random Forest,f1_macro,7.479962348937988,0.06059181646706057,0.14027182261149088,0.0016788919943133184,12,1050,"{'classifier__max_depth': 12, 'classifier__n_estimators': 1050}",0.990626171728534,0.9913760779902512,0.9909977494373593,0.9909999997187149,0.00030615208439086866,12,0.9654448435206524,0.950767343339921,0.9650541846874762,0.9604221238493499,0.006828823402554815,13,0.9425817346638892,0.9619118904619909,0.9662057498582429,0.9568997916613743,0.010275030389772438,13,0.9530990640266511,0.9550869411861667,0.9656016229880825,0.9579292094003001,0.005485578765990084,13,False
Random Forest,f1_macro,6.076106786727905,0.17694452810027647,0.12180813153584798,0.0012124526012227254,12,850,"{'classifier__max_depth': 12, 'classifier__n_estimators': 850}",0.990626171728534,0.9913760779902512,0.9909977494373593,0.9909999997187149,0.00030615208439086866,12,0.9654448435206524,0.950767343339921,0.9650541846874762,0.9604221238493499,0.006828823402554815,13,0.9425817346638892,0.9619118904619909,0.9662057498582429,0.9568997916613743,0.010275030389772438,13,0.9530990640266511,0.9550869411861667,0.9656016229880825,0.9579292094003001,0.005485578765990084,13,False
Random Forest,f1_macro,7.200012445449829,0.3057460309587164,0.13744123776753744,0.007677310465557813,12,1000,"{'classifier__max_depth': 12, 'classifier__n_estimators': 1000}",0.990626171728534,0.9913760779902512,0.9909977494373593,0.9909999997187149,0.00030615208439086866,12,0.9654448435206524,0.950767343339921,0.9650541846874762,0.9604221238493499,0.006828823402554815,13,0.9425817346638892,0.9619118904619909,0.9662057498582429,0.9568997916613743,0.010275030389772438,13,0.9530990640266511,0.9550869411861667,0.9656016229880825,0.9579292094003001,0.005485578765990084,13,False
Random Forest,f1_macro,6.218083779017131,0.23868576134382824,0.1232762336730957,0.0014611513823855878,,850,"{'classifier__max_depth': None, 'classifier__n_estimators': 850}",0.990626171728534,0.9913760779902512,0.9909977494373593,0.9909999997187149,0.00030615208439086866,12,0.9654448435206524,0.950767343339921,0.9650541846874762,0.9604221238493499,0.006828823402554815,13,0.9425817346638892,0.9619118904619909,0.9662057498582429,0.9568997916613743,0.010275030389772438,13,0.9530990640266511,0.9550869411861667,0.9656016229880825,0.9579292094003001,0.005485578765990084,13,False
Random Forest,f1_macro,6.114566008249919,0.23335469725165017,0.1232310136159261,0.0019111384483808645,14,850,"{'classifier__max_depth': 14, 'classifier__n_estimators': 850}",0.990626171728534,0.9913760779902512,0.9909977494373593,0.9909999997187149,0.00030615208439086866,12,0.9654448435206524,0.950767343339921,0.9650541846874762,0.9604221238493499,0.006828823402554815,13,0.9425817346638892,0.9619118904619909,0.9662057498582429,0.9568997916613743,0.010275030389772438,13,0.9530990640266511,0.9550869411861667,0.9656016229880825,0.9579292094003001,0.005485578765990084,13,False
Random Forest,f1_macro,6.1531979242960615,0.19427519194411944,0.12640380859375,0.005399605455126285,9,850,"{'classifier__max_depth': 9, 'classifier__n_estimators': 850}",0.990626171728534,0.9913760779902512,0.9906226556639159,0.9908749684609003,0.0003543408537761828,18,0.9654448435206524,0.950767343339921,0.964869391006979,0.9603605259558509,0.006787471346817698,20,0.9425817346638892,0.9619118904619909,0.9660265062662015,0.9568400437973604,0.010221123562286384,18,0.9530990640266511,0.9550869411861667,0.9654187966878158,0.9578682673002112,0.005400357051476115,18,False
Random Forest,f1_macro,7.309753338495891,0.0723697201340189,0.13413540522257486,0.0032310174229511807,9,1000,"{'classifier__max_depth': 9, 'classifier__n_estimators': 1000}",0.9910011248593926,0.9910011248593926,0.9906226556639159,0.9908749684609003,0.00017841208972785294,18,0.9665034512295813,0.9497163129070547,0.964869391006979,0.9603630517145384,0.007557879933281811,18,0.9454971865589329,0.9589356999858003,0.9660265062662015,0.9568197976036448,0.008513558757610108,19,0.9552012389980601,0.952932951267453,0.9654187966878158,0.9578509956511096,0.005430775985411536,19,False
Random Forest,f1_macro,8.004537423451742,0.6012246352271284,0.14547268549601236,0.005448559315147598,9,1050,"{'classifier__max_depth': 9, 'classifier__n_estimators': 1050}",0.9910011248593926,0.9910011248593926,0.9906226556639159,0.9908749684609003,0.00017841208972785294,18,0.9665034512295813,0.9497163129070547,0.964869391006979,0.9603630517145384,0.007557879933281811,18,0.9454971865589329,0.9589356999858003,0.9660265062662015,0.9568197976036448,0.008513558757610108,19,0.9552012389980601,0.952932951267453,0.9654187966878158,0.9578509956511096,0.005430775985411536,19,False
